"Date","Time","Open","High","Low","Close","Volume","MACD","MACDAvg","MACDDiff","RSI","SlowK","SlowD","FastAvg","SlowAvg","DistF","DistS","FGS","FLS","OpenBar"
10/31/2012,16:00,1.3037,1.3098,1.3023,1.3038,213027,0.002202,0.003917,-0.001715,51.81,33.00,33.08,1.3056,1.2951,0.0018,0.0087,49,0,1
11/01/2012,16:00,1.3032,1.3059,1.3001,1.3013,189227,0.001793,0.003492,-0.001699,49.50,32.49,33.12,1.3043,1.2959,0.0030,0.0054,50,0,1
11/02/2012,16:00,1.3019,1.3027,1.2897,1.2902,276549,0.000568,0.002907,-0.002340,40.80,16.65,27.38,1.3023,1.2964,0.0121,0.0062,51,0,1
11/05/2012,16:00,1.2897,1.2918,1.2843,1.2864,219459,-0.000702,0.002185,-0.002888,38.32,8.47,19.20,1.2998,1.2969,0.0134,0.0105,52,0,1
11/06/2012,16:00,1.2871,1.2903,1.2838,1.2892,234289,-0.001466,0.001455,-0.002921,41.16,7.51,10.88,1.2982,1.2975,0.0090,0.0083,53,0,1
11/07/2012,16:00,1.2888,1.2952,1.2812,1.2844,361792,-0.002431,0.000678,-0.003108,37.93,9.79,8.59,1.2961,1.2979,0.0117,0.0135,0,1,1
11/08/2012,16:00,1.2846,1.2852,1.2792,1.2823,297795,-0.003326,-0.000123,-0.003203,36.58,10.76,9.35,1.2941,1.2983,0.0118,0.0160,0,2,1
11/09/2012,16:00,1.2821,1.2865,1.2764,1.2787,286917,-0.004277,-0.000954,-0.003323,34.32,7.77,9.44,1.2918,1.2987,0.0131,0.0200,0,3,1
11/12/2012,16:00,1.2790,1.2814,1.2772,1.2788,147452,-0.004965,-0.001756,-0.003209,34.45,7.13,8.55,1.2899,1.2989,0.0111,0.0201,0,4,1
11/13/2012,16:00,1.2783,1.2804,1.2736,1.2780,309295,-0.005512,-0.002507,-0.003005,33.91,8.36,7.75,1.2873,1.2992,0.0093,0.0212,0,5,1
11/14/2012,16:00,1.2778,1.2858,1.2777,1.2821,269791,-0.005550,-0.003116,-0.002434,39.15,14.41,9.96,1.2851,1.2995,0.0030,0.0174,0,6,1
